t,joint_name,side,angle_deg
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.26600000000326,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.26600000000326,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.26600000000326,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.31299999996554,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.31299999996554,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.31299999996554,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.31299999996554,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.32799999997951,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.32799999997951,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.32799999997951,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.32799999997951,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.375,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.375,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.375,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.375,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.43799999996554,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.43799999996554,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.43799999996554,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.43799999996554,5.299420917378352,5.299420917378352,16.926860128228384,16.926860128228384
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.48499999998603,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.530999999959022,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.530999999959022,5.172293912156772,5.172293912156772,17.08066145180186,17.08066145180186
